asset_id,category,recommended_accessibility_label,notes
audience-warm-up-manager_header,miniboss-header-art,Audience Warm-Up Manager miniboss header art,Use with visible runtime title and compact threat text.
audience-warm-up-manager_intro,miniboss-intro-panel,Audience Warm-Up Manager miniboss intro panel background,Keep intro line and floor-band text in runtime UI.
incentive-podium_header,miniboss-header-art,Incentive Podium miniboss header art,Use with visible runtime title and compact threat text.
incentive-podium_intro,miniboss-intro-panel,Incentive Podium miniboss intro panel background,Keep intro line and floor-band text in runtime UI.
lunch-break-denial-engine_header,miniboss-header-art,Lunch Break Denial Engine miniboss header art,Use with visible runtime title and compact threat text.
lunch-break-denial-engine_intro,miniboss-intro-panel,Lunch Break Denial Engine miniboss intro panel background,Keep intro line and floor-band text in runtime UI.
calibration-committee_header,miniboss-header-art,Calibration Committee miniboss header art,Use with visible runtime title and compact threat text.
calibration-committee_intro,miniboss-intro-panel,Calibration Committee miniboss intro panel background,Keep intro line and floor-band text in runtime UI.
investor-relations-avatar_header,miniboss-header-art,Investor Relations Avatar miniboss header art,Use with visible runtime title and compact threat text.
investor-relations-avatar_intro,miniboss-intro-panel,Investor Relations Avatar miniboss intro panel background,Keep intro line and floor-band text in runtime UI.
